Property Address,Property City,Property State,Property Type,Building SF,Star Rating,Sale Price,Price Per SF,Sale Date,Sale Status,Asking Price,Actual Cap Rate,Pro Forma Cap Rate,Property Name,Buyer (True) Company,Acquisition Fund Name,Buyer (True) Origin,Buyers Broker Company,Seller (True) Company,Disposition Fund Name,Seller (True) Origin,Listing Broker Company,Secondary Type,Building Class,Year Built,Number Of Units,Land Area AC,Land Area SF,Number Of Floors,Ceiling Height,Zoning,Submarket Name,Location Type,Property County,Country,Subcontinent,Continent,Property Zip Code,Corner,Map Code,Price Per AC Land,Price Per SF Land,Number Of Beds,Vacancy,University,Price Per Unit,Recording Date,Publication Date,Non-Arms Length Reasons,Sale Price Comment,Research Status,Affordable Type,Age,All-Inclusive,All-Suites,Amenities,Anchor Tenants,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Avg Unit SF,Brand,Building Condition,Building Materials,Building Operating Expenses,Building Park,Building Tax Expenses,Buyer (True) Address,Buyer (True) City,Buyer (True) Contact,Buyer (True) Phone,Buyer (True) Post-Direction,Buyer (True) Pre-Direction,Buyer (True) Secondary Type,Buyer (True) State,Buyer (True) Street Name,Buyer (True) Street Number,Buyer (True) Type,Buyer (True) Zip Code,Buyer Address,Buyer City,Buyer Company,Buyer Contact,Buyer Phone,Buyer State,Buyer Street Name,Buyer Street Number,Buyer Street Post-Direction,Buyer Street Pre-Direction,Buyer Zip Code,Buyers Broker Address,Buyers Broker Agent First Name,Buyers Broker Agent Last Name,Buyers Broker City,Buyers Broker Phone,Buyers Broker State,Buyers Broker Street Name,Buyers Broker Street Number,Buyers Broker Street Post-Direction,Buyers Broker Street Pre-Direction,Buyers Broker Zip Code,Column Spacing,Comp ID,Comps Number,Construction Begin,Construction Material,Coverage,Cross Street,Description Text,Document Number,Down Payment,Drive Ins,Fips Code,Fire Sprinkler,First Trust Deed Balance,First Trust Deed Lender,First Trust Deed Payment,First Trust Deed Terms,Flood Risk,Flood Zone,Floor Area Ratio,Frontage,GIM,GRM,Gross Income,Heating,Hold Period,Hotel Class,Hotel Location Type,Hotel Operator,Improvement Ratio,Land Improvements,Land SF Gross,Land SF Net,Latitude,Legal Description,Listing Broker Address,Listing Broker Agent First Name,Listing Broker Agent Last Name,Listing Broker City,Listing Broker Phone,Listing Broker State,Listing Broker Street Name,Listing Broker Street Number,Listing Broker Street Post-Direction,Listing Broker Street Pre-Direction,Listing Broker Zip Code,Loading Docks,Longitude,Lot Dimensions,Map Page,Map X,Map Y,Market,Market Time,Multi-Sale Name,Net Income,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of Cranes,Number Of Other Bedrooms Units,Number Of Parking Spaces,Number Of Rooms,Number Of Studios Units,Number Of Tenants,Office Space,One Bedroom Mix,Other Mix,Parcel Number 1 (Min),Parcel Number 2 (Max),Parent Company,Parking Ratio,Percent Leased,Percent Office,Portfolio City,Portfolio County,Portfolio Name,Portfolio State,Portfolio Zip,Power,Pre-Leasing,Price Per AC Land Net,Price Per Room,Price Per SF (Net),Price Per SF Land Net,Property Street Name,Property Street Number,Property Street Post-Direction,Property Street Pre-Direction,PropertyID,Proposed Use,Rail Served,Region,Roof Type,Sale Condition,Sale Type,Scale,Second Trust Deed Balance,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Seller (True) Address,Seller (True) City,Seller (True) Contact,Seller (True) Phone,Seller (True) Post-Direction,Seller (True) Pre-Direction,Seller (True) Secondary Type,Seller (True) State,Seller (True) Street Name,Seller (True) Street Number,Seller (True) Type,Seller (True) Zip Code,Seller Address,Seller City,Seller Company,Seller Contact,Seller Phone,Seller State,Seller Street Name,Seller Street Number,Seller Street Post-Direction,Seller Street Pre-Direction,Seller Zip Code,Sewer,Size,Sprinklers,Sprinklers,Stamp,Studio Mix,Submarket Cluster,Submarket Code,Tenancy,Three Bedroom Mix,Title Company,Total Expense Amount,Transaction Notes,Transfer Tax,Two Bedroom Mix,Typical Floor (SF),Units Per Acre,Water,Year Renovated
8337 College Ave,Whittier,CA,Multi-Family,"4,344",1 Star,"$1,575,000",362.57,3/23/2023,Sold,"1,575,000",4.68,,,Salvador Torres,,Local,Sunrise Realty & Home Loans,Jim & Marjorie Howard,,Local,RE/MAX 2000 Commercial,Apartments,C,1954,5,0.23,10019,2,,WHR4*,Whittier City,Urban,Los Angeles,United States,North America,Americas,90605-1414,,,"6,847,689.39",157.20,,2.5,,"315,000",3/23/2023,3/23/2023,,Confirmed,Research Complete,,69,No,No,Laundry Facilities,,"104,877","47,223","152,100",2022,868,,Adequate,Wood Frame,2023 Tax @ $3490.20/Unit; 2023 Ops @ $3198.20/Unit,,2023 Tax @ $3490.20/Unit; 2023 Ops @ $3198.20/Unit,12817 Danbrook Dr,Whittier,Salvador Torres,5629453527,,,Other - Private,CA,Danbrook Dr,12817,Private,90602,12817 Danbrook Dr,Whittier,Salvador Torres,,5629453527,CA,Danbrook Dr,12817,,,90602,"9047 Florence Ave, K",Victoria,Mercado,Downey,5628610923,CA,Florence Ave,9047,,,90240,,6343006,,,Wood Frame,0.216792430231165,,,0186421,,,06037,,,,,,Yes,B and X,0.43,,,14.74,"106,200",,<1 Month,,,,68.95,,,,33.9623944,,1221 S Hacienda Blvd,Kristopher,German,Hacienda Heights,6269560188,CA,Hacienda Blvd,1221,,S,91745,,-118.0279184,,,,,Los Angeles,28,,"70,185",0,5,0,,0,9,,0,,,,,8142-028-010,8142-028-010,,2.07,,,Whittier,Los Angeles,,CA,,,,,,362.57,,College Ave,8337,,,13913562,,,,,,Investment,Independent,,,,,,Whittier,Jim Howard,6269619651,,,Individual,CA,,,Private,90608,1812 Branch Creek St,Bakersfield,"J.R. Howard Enterprises, LTD",,,CA,Branch Creek St,1812,,,93312,,"4,344",,,,,Southeast Los Angeles,8FX       ,,,,"33,442.00","On March 23rd, 2023 the 8337 College Ave in Whittier, CA sold for $1,575,000. The seller was J.R. Howard Enterprises, LTD and they were represented by Kristopher German from Re/Max 2000 Commercial. The buyer of the 4,344 square foot multi-family building was Salvador Torres and he was represented by Victoria Mercado from Sunrise Realty & Home Loans. 
The details of this transaction were verified via sources deemed reliable.",,5(2 + 1) ,2172,,,
317 Fraser Ave,Los Angeles,CA,Multi-Family,"1,368",2 Star,"$725,000",529.97,3/23/2023,Sold,"719,999",6.34,,,,,,,,,,Century 21 Masters,Apartments,C,1953,4,0.10,4280,,,R3,East Los Angeles,Urban,Los Angeles,United States,North America,Americas,90022-1926,,,"7,378,738.32",169.39,,2.5,,"181,250",,3/23/2023,,Confirmed,Public Record,,70,No,No,"Breakfast Nook, Dining Room, Family Room, Patio, Vinyl Flooring, Window Coverings",,0,0,0,,,,,Wood Frame,2021 Tax @ $2444.00/Unit; 2021 Ops @ $3600.00/Unit,,2021 Tax @ $2444.00/Unit; 2021 Ops @ $3600.00/Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6342513,,,Wood Frame,0.000934582059575868,,,,,,06037,,,,,,Yes,B and X,0.32,,,,,,20+ Years,,,,,,,,34.032561,,2355 Main St,Justin,Yee,Irvine,9495722100,CA,Main St,2355,,,92614-4287,,-118.157958,,,,,Los Angeles,113,,,4,0,0,,0,5,,0,,,4(1 + 1) ,,5248-005-036,5248-005-036,,3.65,,,Los Angeles,Los Angeles,,CA,,,,,,529.97,,Fraser Ave,317,,,13834953,,,,,,Investment,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,368",,,,,Southeast Los Angeles,7FV       ,,,,,,,,4,,,2022
678 W 16th St,San Pedro,CA,Multi-Family,"5,610",2 Star,"$1,200,000",213.90,3/21/2023,Sold,"1,300,000",4.70,,,JESSICA  REYNOSO,,National,KW Commercial - Santa Monica,Susan E Wallach,,Local,Lyon Stahl Investment Real Estate,Apartments,C,1959,5,0.11,5005,2,,LARD2,Central San Pedro,Suburban,Los Angeles,United States,North America,Americas,90731-4750,,,"10,661,227.82",244.75,,,,"240,000",3/16/2023,3/21/2023,,Confirmed,Research Complete,,64,No,No,Air Conditioning,,"435,051","541,024","976,075",2022,900,,Good,Wood Frame,,,,15839 Ocean Ave,Whittier,JESSICA REYNOSO,5629471097,,,Individual,CA,Ocean Ave,15839,Private,90604,,,,,,,,,,,,2701 Ocean Park Blvd,Derrick,Vartanian,Santa Monica,3104822200,CA,Ocean Park Blvd,2701,,,90405-5200,,6339601,,,Wood Frame,0.40959040959041,,,0169086,,,06037,,,,,,Yes,B and X,1.12,,,14.27,"91,116",,90 Months,,,,44.57,,,,33.7299483,,239 Oregon St,Olga,Wright,El Segundo,3104259838,CA,Oregon St,239,,,90245-4215,,-118.2918155,,,,,Los Angeles,50,,"61,388",0,5,0,,0,5,,0,,,,,7454-031-021,7454-031-021,,1.21,,,San Pedro,Los Angeles,,CA,,,,,,213.90,,16th St,678,,W,9511842,,,,,1031 Exchange,Investment,Independent,,,,,24420 Senator Ave,Harbor City,Susan Wallach,9494935569,,,Individual,CA,Senator Ave,24420,Private,90710-1734,24420 Senator Ave,Harbor City,Susan E Wallach,,9494935569,CA,Senator Ave,24420,,,90710-1734,,"5,610",,,,,Long Beach/Ports,6FA       ,,,,"26,995.00","On 03/21/2023 the 5-unit multifamily property totaling 5,610 square feet on 0.11 acres of land located at 678 W 16th St. San Pedro, CA 90731 sold for $1.2M. Each unit was approximately $240,000. It was constructed in 1959.

The transaction information was confirmed by a source deemed reliable.",,5(2 + 1) ,2050,,,
2030-2032 Lemon Ave,Long Beach,CA,Multi-Family,"3,458",2 Star,"$1,100,000",318.10,3/17/2023,Sold,"1,195,000",4.80,,,Rasmey Hean & Sokha Uch,,Local,Lifetime Realty & Investment,Kotona & Toru Kitano,,National,Shore Capital Corporation,Apartments,C,1959,4,0.15,6534,2,,"R1, Long Beach",Signal Hill,Suburban,Los Angeles,United States,North America,Americas,90806-5150,,795-F4,"13,856,564.49",318.10,,3.7,,"275,000",3/23/2023,3/27/2023,,Confirmed,Research Complete,,64,No,No,Laundry Facilities,,"579,631","328,093","907,724",2022,1205,,Adequate,Wood Frame,,,,2030 Lemon Ave,Long Beach,Rasmey Hean,,,,Individual,CA,Lemon Ave,2030,Private,90806,2030 Lemon Ave,Long Beach,Rasmey Hean & Sokha Uch,,,CA,Lemon Ave,2030,,,90806,"140 S Flower St, 200",Huok,Lo,Orange,7143633888,CA,Flower St,140,,S,92868-3413,,6344977,,,Wood Frame,0.264615855524946,,"

Property Description: Multi Family   -  5 Units



",0186580,"275,000",,06037,,"825,000",Rocket Mortgage. LLC,,,Yes,B and X,0.53,,,,,,74 Months,,,,63.86,,,,33.7943119,,"9114 Adams Ave, 165",Mariko,Meek,Huntington Beach,3109622990,CA,Adams Ave,9114,,,92646-3405,,-118.1782745,50.000x130.000,795,F,4,Los Angeles,95,,"52,800",1,1,0,,2,4,,0,,,1(1 + 1) ,2(4 + 2) ,7210-027-009,7210-027-009,,1.16,,,Long Beach,Los Angeles,,CA,,,,,,318.10,,Lemon Ave,2030-2032,,,4637207,,,,,,Investment,Independent,,,,,,,,,,,Individual,,,,Private,,,,,,,,,,,,,,"3,458",,,,,Long Beach/Ports,0FC       ,,,,,"On March 17, 2023, the 3,458 square foot, 4 Unit, Multi-Family building located at 2030 Lemon Ave in Los Angeles County, CA sold for $1.1 million. The building was constructed in 1959 and is located on a 0.155-acre parcel zoned R-1 for multi-family use. The consideration, sale date, property size, number of units, brochure, buyer broker information, financing and cap rate were confirmed by a representative of the seller. All other information was gathered via public record.","1,210.00",1(2 + 1) ,1729,,,
12910 S Vermont Ave,Gardena,CA,Multi-Family,"5,280",2 Star,"$1,280,000",242.42,3/15/2023,Sold,"1,500,000",4.17,,,,,,Miller & Desatnik Realty Corp.,SoLa Impact,,Local,Rosano Partners,Apartments,C,1954,8,0.17,7501,2,,LAR3,Harbor Gateway North,Urban,Los Angeles,United States,North America,Americas,90247-1605,,,"7,433,248.90",170.64,,1.8,,"160,000",3/15/2023,3/16/2023,,Confirmed,Research Complete - New Info,Rent Controlled,69,No,No,,,"584,349","482,490","1,066,839",2022,,,Adequate,Masonry,,,,,,,,,,,,,,,,,,"Bingo Real Estate, LLC",,,,,,,,,3627 Motor Ave,Jeff,Pierce,Los Angeles,3102029166,CA,Motor Ave,3627,,,90034-5701,,6335059,,,Masonry,0.351951571463767,,,0166397,,,06037,,"1,100,000",Cathay Bank,,,Yes,B and X,0.70,,,12,,,66 Months,,,,54.77,,,,33.9150839,,"3530 Wilshire Blvd, 1760",Brandon,Evans,Los Angeles,2138020300,CA,Wilshire Blvd,3530,,,90010-2328,,-118.2913002,,,,,Los Angeles,183,,"53,405",7,1,0,,0,8,,0,,,7(1 + 1) ,,6117-023-003,6117-023-003,,1.52,100.00%,,Gardena,Los Angeles,,CA,,,,,,242.42,,Vermont Ave,12910,,S,5448903,,,,,,Investment,Independent,,,,,8625 S Vermont Ave,Los Angeles,Martin Muoto,3233064648,,S,Equity Funds,CA,Vermont Ave,8625,Private Equity,90044,8629 S Vermont Ave,Los Angeles,Sola Impact Fund II LLP,,,CA,Vermont Ave,8629,,S,90044,,"5,280",,,,,South Bay,2FU       ,,,,,"This 8 unit multi family property sold on 3/15/2023 for $1,218,000 with a 4.17% capitalization rate.  It is located on S. Vermont Ave in Gardena, California.  Each unit is 660 square feet.  Brandon Evans of Rosano Partners represented the seller.  Jeff Pierce of Miller & Desatnik Realty Corp secured the buyer.  The deed was not available at the time of publication.",,1(2 + 1) ,2640,,,
830 N Euclid Ave,Pasadena,CA,Multi-Family,"2,154",2 Star,"$1,150,000",533.89,3/15/2023,Sold,,8.71,,,Saqib & Alia Hafeez,,Local,,LaShawn C Cullins,,Local,Keller Williams Commercial,Apartments,C,1949,5,0.16,7000,1,,RM16,Villa Parke,Urban,Los Angeles,United States,North America,Americas,91104-4270,,565-J3,"7,156,285.71",164.29,,3.5,,"230,000",3/15/2023,3/23/2023,,Confirmed,Research Complete,,74,No,No,,,"181,201","679,515","860,716",2022,,,Adequate,Wood Frame,,,,113 S Utah St,Los Angeles,Saqib Hafeez,3238592200,,S,Individual,CA,Utah St,113,Private,90033,,,,,,,,,,,,,,,,,,,,,,,,6340009,,,Wood Frame,0.30771024152254,,,0165905,,,06037,,,,,,Yes,B and X,0.31,,,,,,100 Months,,,,21.05,,,,34.1601524,,"17785 Center Court Dr, 120",Gary,Chen,Cerritos,5622610900,CA,Center Court Dr,17785,,,90703-8573,,-118.1424566,50.000x140.000,565,J,3,Los Angeles,,,"100,185",4,1,0,,0,7,,0,,,4(1 + 1) ,,5725-026-004,5725-026-004,,3.25,100.00%,,Pasadena,Los Angeles,,CA,,,,,,533.89,,Euclid Ave,830,,N,4622897,,,,,High Vacancy Property,Investment,Independent,,,,,4128 Rose Ave,Long Beach,LaShawn Cullins,3106772410,,,Individual,CA,Rose Ave,4128,Private,90807,,,,,,,,,,,,,"2,154",,,,,Pasadena,7FI       ,,,,,"On March 15th, 2023, a multi-family building in Los Angeles County, CA was sold for $1,150,000 in a investment sale. 

The building sports a total of 2,154 square feet of rentable residential space and has 5 units that are well situated at 830 N Euclid Ave.
 
The details of this transaction were confirmed with both the listing broker and buyer broker and sourced using public record information.",,1(2 + 2) ,2154,,,
2 Hermosa Ave,Hermosa Beach,CA,Multi-Family,"4,242",3 Star,"$2,250,000",530.41,3/14/2023,Sold,,,,,Brian F Conroy,,Local,Brian F Conroy,Lynn Byrne Simon,,National,Lynn Byrne Simon,Apartments,B,1959,4,0.12,5422,2,,HBC1*,Hermosa Beach,Suburban,Los Angeles,United States,North America,Americas,90254-5059,,,"18,076,355.59",414.98,,3.3,,"562,500",3/14/2023,4/3/2023,,Confirmed,Research Complete,,64,No,No,,,"81,119","142,059","223,178",2022,,,Good,,2023 Tax @ $7429.67/Unit; 2023 Ops @ $7023.33/Unit,,2023 Tax @ $7429.67/Unit; 2023 Ops @ $7023.33/Unit,PO BOX 3513,PALOS VERDES PENINSULA,Brian Conroy,3105411295,,,Individual,CA,PO BOX 3513,,Private,90274,PO BOX 3513,PALOS VERDES PENINSULA,Brian F Conroy,,3105411295,CA,PO BOX 3513,,,,90274,PO BOX 3513,Brian,Conroy,PALOS VERDES PENINSULA,3105411295,CA,PO BOX 3513,,,,90274,,6340835,,,,0.391184064920693,,,0162991,,,06037,,,,,,Yes,B and X,0.78,,,,"137,254",,20+ Years,,,,36.35,,,,33.852802,,493 Deso Ave,Lynn,Simon,Camarillo,,CA,Deso Ave,493,,,93010,,-118.3972072,,,,,Los Angeles,,,"89,777",3,0,0,,0,7,,1,,,3(1 + 1) ,,4188-015-037,4188-015-037,,1.65,100.00%,,Hermosa Beach,Los Angeles,,CA,,,,,,530.41,,Hermosa Ave,2,,,13911486,,,,,,Investment,Independent,,,,,493 Deso Ave,Camarillo,Lynn Simon,,,,Individual,CA,Deso Ave,493,Private,93010,,,,,,,,,,,,,"4,242",,,,1(0 + 1) ,Beach Communities,8EJ       ,,,,"43,359.00","On March 14, 2023, Simon Living Trust sold 2 Hermosa Ave to Brian F Conroy for $2,250,000. 

The property was sold by Lynne Bryne Simon and purchased by Brian Conroy. The 4,242 square foot building  is located in Hermosa Beach, California in Los Angeles County. 

The 4 unit, class B multi family unit was confirmed sold by the seller who represented themeleves.",,,2121,,,
1601 Whittier Blvd (Part of a 2 Property Sale),Montebello,CA,Multi-Family,"4,774",2 Star,"$1,314,975",275.45,3/13/2023,Sold,,,,Multi-Property Sale,HML Investments,,Local,,Ricardo Cruz,,National,,Apartments,C,1948,5,0.13,5628,2,,MNC2*,Montebello,Urban,Los Angeles,United States,North America,Americas,90640,,,"10,177,738.27",233.65,,2.5,,"262,995",3/13/2023,3/20/2023,,Allocated,Research Complete,,75,No,No,,,"227,076","103,947","331,023",2022,,,,,,,,"3151 Cahuenga Blvd W, 300",Los Angeles,Yanni Raz,8183084443,W,,Individual,CA,Cahuenga Blvd,3151,Private,90068-1768,,,HML Investments,,,,,,,,,,,,,,,,,,,,,6337279,,,,0.424132970572599,,,0158119,,,06037,,"880,000",,,Lender Name: Red Dragon Investment,Yes,B and X,0.85,,,,,,20+ Years,,,,68.60,,,,34.0119041,,,,,,,,,,,,,,-118.1178705,,,,,Los Angeles,,,,5,0,0,,0,,,0,,,5(1 + 1) ,,6337-004-021,6337-004-021,,,100.00%,,Montebello,Los Angeles,,CA,90640,,,,,275.45,,Whittier Blvd,1601,,,8954662,,,,,,Investment,Independent,"110,000",,,Lender Name: Salinas Mirthala,612 Wildrose Cir,San Jacinto,Ricardo Cruz,3234343472,,,Individual,CA,Wildrose Cir,612,Private,92582,,,Cruz Ricardo,,,,,,,,,,"4,774",,,,,Southeast Los Angeles,8FW       ,,,,,"On 3/13/2023, the 7,942 SF Mult-Family and Hospitality buildings at 1601 Wittier Blvd and 1617 W Whittier Blvd and  were sold for $2,200,000. These class C buildings were delivered in 1948 and are zoned MNC2.   The details above have been verified by parties close to the transaction.
",,,2387,,,
1617 W Whittier Blvd (Part of a 2 Property Sale),Montebello,CA,Multi-Family,"3,168",2 Star,"$885,025",279.36,3/13/2023,Sold,,,,Multi-Property Sale,HML Investments,,Local,,Ricardo Cruz,,National,,Apartments,C,1948,8,0.11,4792,1,,MNC2*,Montebello,Urban,Los Angeles,United States,North America,Americas,90640,,,"8,045,010.23",184.69,,2.5,,"110,628",3/13/2023,3/20/2023,,Allocated,Research Complete,,75,No,No,,,"227,076","103,947","331,023",2022,396,,Good,,,,,"3151 Cahuenga Blvd W, 300",Los Angeles,Yanni Raz,8183084443,W,,Individual,CA,Cahuenga Blvd,3151,Private,90068-1768,,,HML Investments,,,,,,,,,,,,,,,,,,,,,6337279,,,,0.661157024793388,,,0158119,,,06037,,"880,000",,,Lender Name: Red Dragon Investment,Yes,B and X,0.66,,,,,,8 Months,,,,68.60,,,,34.0119253,,,,,,,,,,,,,,-118.1185536,,,,,Los Angeles,,,,8,0,0,,0,4,,0,,,8(1 + 1) ,,6337-004-019,6337-004-019,,1.89,100.00%,,Montebello,Los Angeles,,CA,90640,,,,,279.36,,Whittier Blvd,1617,,W,8954593,,,,,,Investment,Independent,"110,000",,,Lender Name: Salinas Mirthala,612 Wildrose Cir,San Jacinto,Ricardo Cruz,3234343472,,,Individual,CA,Wildrose Cir,612,Private,92582,,,Cruz Ricardo,,,,,,,,,,"3,168",,,,,Southeast Los Angeles,8FW       ,,,,,"On 3/13/2023, the 7,942 SF Mult-Family and Hospitality buildings at 1601 Wittier Blvd and 1617 W Whittier Blvd and  were sold for $2,200,000. These class C buildings were delivered in 1948 and are zoned MNC2.   The details above have been verified by parties close to the transaction.
",,,3168,,,
1300-1304 W Olive Ave,Burbank,CA,Multi-Family,"24,800",2 Star,"$7,500,000",302.42,3/10/2023,Sold,"9,900,000",5.31,,Maui Apartments,,,,First Class Real Estate Inc.,Kristen Kaplanis Mcgregor Trust,,Local,First Class Real Estate Inc.,Apartments,C,1956,40,0.67,29159,2,,BUR4-1*,Rancho Adjacent,Urban,Los Angeles,United States,North America,Americas,91506,,,"11,204,087.93",257.21,,30.0,,"187,500",3/10/2023,3/22/2023,,Confirmed,Research Complete,,67,No,No,"Air Conditioning, Laundry Facilities",,"1,334,739","894,554","2,229,293",2022,,,Adequate,Wood Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,2926 W Magnolia Blvd,Jon,Dolan,Burbank,8185690210,CA,Magnolia Blvd,2926,,W,91505-3038,,6337158,,,Wood Frame,0.42525370498861,,,0156132,"145,584",None,06037,,"7,645,584",,,Lender Name: Genesis Capital Llc,Yes,C and X,0.85,,,,,,6 Months,,,,59.87,,,,34.169918,,2926 W Magnolia Blvd,Bill,Toth,Burbank,8185690210,CA,Magnolia Blvd,2926,,W,91505-3038,None,-118.319736,,,,,Los Angeles,161,,"398,000",0,0,0,,0,33,,40,,,,,2446-031-031,2446-031-031,,1.33,100.00%,,Burbank,Los Angeles,,CA,91506,,,,,302.42,,Olive Ave,1300-1304,,W,8005753,,,,,,Investment,Independent,,,,,1300 W Olive Ave,Burbank,Kristen Kaplanis,6263897783,,W,Trust,CA,Olive Ave,1300,Private,91506,,,Kristen Kaplanis Mcgregor Trust,,,,,,,,,,"24,800",,,,,Burbank,0EM       ,,,,,"Bill Toth and Jon Dolan of First Class Real Estate represented both parties in the sale the Maui Apartments. The property sold for $7,500,000 and the cap rate was 4%. Ownership of the building was split 50/50 between Burlington Beverly LLC and Olive Apartments LLC, two California corporations. The true identity of the buyer(s) is unknown.",,,12400,,,
10639 Eastborne Ave,Los Angeles,CA,Multi-Family,"5,288",2 Star,"$2,795,000",528.56,3/10/2023,Sold,,3.19,,,Chaim Nochum Cunin,,Local,,The Jenny Taft-Nicklin Trust,,National,CBRE,Apartments,C,1951,5,0.15,6499,2,,"R3-1, Los Angeles",Westwood,Urban,Los Angeles,United States,North America,Americas,90024-5929,,632-C4,"18,733,682.11",430.07,,6.5,"University of California, Los Angeles","559,000",3/10/2023,3/14/2023,,Confirmed,Research Complete,,72,No,No,,,"564,316","573,185","1,137,501",2022,1009,,Adequate,Reinforced Concrete,,,,10639 Eastborne Ave,Los Angeles,Chaim Cunin,3106280900,,,Individual,CA,Eastborne Ave,10639,Private,90024-5929,,,Chaim Nochum Cunin,,,,,,,,,,,,,,,,,,,,,6332659,,,Reinforced Concrete,0.406822305433078,,"

Property Description: Multi Family - 5 Units


Apartment Unit:     townhouse


",0155173,"770,000",,06037,,"2,025,000",,,Lender Name: Jenny Traft-Nicklin,Yes,B and X,0.81,,,20.5,,,79 Months,,,,49.61,,,,34.054042,,"4141 Inland Empire Blvd, 100",Eric,Chen,Ontario,9094182000,CA,Inland Empire Blvd,4141,,,91764-5004,,-118.431454,50.000x130.000,632,C,4,Los Angeles,,,,0,5,0,,0,10,,0,,,,,4326-026-015,4326-026-015,,0.95,,,Los Angeles,Los Angeles,,CA,,,,,,528.56,,Eastborne Ave,10639,,,4208929,,,,,,Investment,Independent,,,,,,Ojai,Jenny Nicklin,,,,Trust,CA,,,Private,93024,,,,,,,,,,,,,"5,288",,,,,Beverly Hills/Century City/UCLA,3EL       ,,,,,"On 3-10-23 the 5 unit multi-family property at 10639 Eastborne Ave, Los Angeles CA was sold. This 5,288 SF, class C asset sold for $2,795,000. Eric Chen and Joyce Goldstein of CBRE represented the seller during this transaction. The details surrounding this deal were obtained and confirmed by sources deemed reliable.",,5(2 + 1) ,2644,,,
3570 Jasmine Ave (Part of a 2 Property Sale),Los Angeles,CA,Multi-Family,"9,034",2 Star,"$2,322,144",257.04,3/9/2023,Sold,,,,Multi-Property Sale,Allison L Heyen,,National,Berkshire Hathaway HomeServices (California),Elderwell,,Local,Berkshire Hathaway HomeServices (California),Apartments,C,1958,10,0.17,7405,2,,LAR3,Palms,Urban,Los Angeles,United States,North America,Americas,90034,,,"13,660,039.52",313.59,,4.1,,"232,214",3/9/2023,3/20/2023,,Allocated,Research Complete,,65,No,No,,,"293,828","162,589","456,417",2022,,,Adequate,Reinforced Concrete,,,,3805 N Crest Dr,Manhattan Beach,Allison Heyen,3105451655,,N,Individual,CA,Crest Dr,3805,Private,90266,3570 Jasmine Ave,Los Angeles,3570 Jasmine Llc,,,CA,Jasmine Ave,3570,,,90034,131 S Rodeo Dr,Matias,Baker Masucci,Beverly Hills,3107777800,CA,Rodeo Dr,131,,S,90212-2425,,6337224,,,Reinforced Concrete,0.609976773078377,,,0150555,,,06037,,"1,850,000",JPMorgan Bank NA,,Lender Name: Jpmorgan Chase Bank National,Yes,B and X,1.22,,,,,,20+ Years,,,,64.38,,,,34.0263323,,131 S Rodeo Dr,Brian,Joy,Beverly Hills,3107777800,CA,Rodeo Dr,131,,S,90212-2425,,-118.4050036,,,,,Los Angeles,93,,,0,0,0,,0,14,,10,,,,,4313-002-012,4313-002-012,,1.54,100.00%,,Los Angeles,Los Angeles,,CA,,,,,,257.04,,Jasmine Ave,3570,,,5445991,,,,,,Investment,Independent,,,,,"6345 Balboa Blvd, 114",Encino,Aileen Federizo,8184364684,,,Corporation,CA,Balboa Blvd,6345,User,91316-1519,,,Rose Joyce Living Trust,,,,,,,,,,"9,034",,,,10(0 + 0) ,Greater Culver City,1ES       ,,,,,"On 3/9/2023, the 21-unit multifamily complex at 3562 and 3570 Jasmine Ave sold to a private investor for $4.05 million. Built in 1958, the two properties total in 15,756 square feet and sit on two, neighboring 0.17-acre parcels of land. 

The property was on the market for approximately 3 months with an initial asking price of $4.1 million. 

All details mentioned above were verified and deemed correct by a reliable source.",,,4517,,,
